中	a
瘢	glay
瘘	glbn
瘿	glbn
瘅	glbo
疤	glbp
疗养	glbs
癀	glcb
瘼	glcd
疳	glce
瘩	glck
病菌	glck
痨	glcl
疾苦	glco
痛苦	glco
功劳	glct
疲劳	glct
痪	gldd
病态	gldd
疚	gldn
病房	gldo
痘	gldp
疱	glds
病危	gldv
病变	glea
痉挛	glea
功效	gleb
疗效	gleb
瘁	gleo
痕迹	glep
功夫	gler
痃	gles
疰	glet
癃	glet
疟	glew
功率	glew
瘾	glex
疾	glfd
瘀	glfd
痄	glfe
疙	glfg
痴	glfk
疖	glga
弱	glgl
羽	glgl
癌症	glgl
疤痕	glgl
病痛	glgl
病症	glgl
疙瘩	glgl
疾病	glgl
痢疾	glgl
疟疾	glgl
瘦弱	glgl
瘫痪	glgl
疼痛	glgl
痛痒	glgl
病床	glgm
疡	glgp
疲	glgy
症	glha
癞	glhb
瘌	glhd
疔	glhg
疴	glhg
痰	glhh
痖	glhh
痞	glhk
痦	glhk
瘃	glhn
疠	glhp
病	glhr
痍	glhr
瘗	glht
病毒	glht
痕	glin
痛斥	gljd
功绩	gljh
疯	glji
工资级别	gljk
瘐	gljr
瘦	gljy
疫	gljy
功勋	glkb
病因	glkd
痼	glkh
病号	glkh
痛哭	glkk
癌	glko
瘸	glkr
疽	glks
症状	glla
痂	gllk
瘴	gllo
癔	gllx
癯	glma
疾驰	glmg
痫	glmm
羽毛	glmp
癫	glob
疣	glog
病逝	gloj
病故	glok
癖	gloo
疝	glop
勒索	glot
痣	glox
癜	gloy
瘪	glpb
痢	glpd
疲乏	glpd
病重	glph
痿	glpn
瘤	glpt
疒	glpt
瘠	glpu
习气	glqp
疯狂	glqw
疥	glra
疲倦	glrb
习俗	glrb
瘊	glrd
习作	glrf
疮	glrg
弱电	glrg
疸	glrh
病例	glrh
痊愈	glrh
习题	glrh
瘟	glrm
疹	glrp
病人	glrp
痤	glrt
痊	glrw
病假	glrw
痧	glsp
疗法	glst
功能	glsu
瘛	glsx
习	glt
痔	gltc
瘰	gltj
功	gltp
痈	glua
功用	glua
癣	gluy
病原	glvb
疬	glvl
疼	glwd
痉	glwg
疗	glwg
痛	glwo
瘳	glwp
癍	glww
瘕	glwy
痴心	glxd
痛心	glxd
习性	glxf
弱小	glxg
瘦小	glxg
病情	glxh
痴情	glxh
痛恨	glxi
功名	glxk
瘭	glxo
瘵	glxo
病害	glxs
痛快	glxw
习惯	glxw
瘫	glya
瘥	glyg
痒	glyp
功课	glyr
弱酸	glys
瘙	glyv
疯子	glzw
床	gm
麻痹	gmbl
床单	gmbr
蘑菇	gmcn
麻烦	gmhh
床铺	gmjh
麻绳	gmjk
魔术	gmmd
麻木	gmmh
縻	gmmj
糜	gmmm
麾	gmmm
蘑	gmmo
磨	gmmo
摩	gmmo
麻	gmmp
靡	gmms
魔	gmms
麽	gmms
摩托	gmop
摩擦	gmox
摩尔	gmpg
床	gmpn
麻袋	gmrh
床位	gmrl
麻雀	gmxa
麻醉	gmye
以权谋私	gmyp
麻子	gmzw
迅	go
庞大	godh
庞	gogd
迅速	gohk
迅猛	goqx
工矿企业	gora
以身作则	gorb
庋	goyp
迅	goz
乃	gp
费	gpab
颇	gpab
艴	gpab
弗	gpag
飞船	gpaj
底盘	gpam
工程师	gpap
皮	gpay
皮带	gpca
飞	gpd
鞒	gpda
飞奔	gpdo
皮包	gpds
盈亏	gpeg
孕育	gpes
庭院	gpex
飞舞	gpfc
飞旋	gpff
弧度	gpgc
底	gpgd
皮革	gpgh
底座	gpgr
皮鞋	gpgt
弥	gpgx
底下	gpha
飞速	gphk
费事	gphk
乃至	gphs
弥补	gpia
底细	gpjt
飞跑	gpka
飞跃	gpka
弧形	gpkp
费力	gplg
底部	gplk
底边	gplz
飞驰	gpmg
飞机	gpmj
皮毛	gpmp
鼐	gpmw
孕妇	gpni
皮层	gpoe
飞扬	gpog
庭	gpoz
底片	gppa
底稿	gppm
盈利	gppm
弧	gppn
皮质	gppp
底行	gppr
飞行	gppr
乃是	gprh
弥漫	gpsr
费用	gpua
飞腾	gpub
皮肤	gpue
虱	gpv
飞轮	gpvr
费劲	gpwd
皮球	gpwh
尕	gpx
飞快	gpxw
戤	gpyg
飞翔	gpyg
盈	gpym
孕	gpz
飞越	gpzh
底子	gpzw
虱子	gpzw
鞭策	grah
鹰	gran
膺	grau
应付账款	grbo
腐败	grbw
府	grcp
腐	grcr
工人阶级	grej
靼	grha
腐烂	grhb
鞭炮	grhd
鞭	grhi
司令员	grkb
司令部	grlk
腐朽	grmh
庥	grmp
鞭打	groh
应付款	gros
腐蚀	grov
靴	grqa
工作人员	grrk
座位	grrl
工人日报	grro
腐化	grrq
革命化	grrq
座	grrt
引人注目	grsm
工作者	grtp
廛	grtt
革命家	grxh
座谈	gryh
鞭子	grzw
靴子	grzw
汞	gs
弘	gsgd
汞	gshn
司法部	gslk
刁	gt
工农业	gtaa
庄严	gtha
疆	gthh
庄园	gtke
庄	gtph
庄重	gtph
庄稼	gtpm
鞋	gtta
刁难	gtya
鞋子	gtzw
庄子	gtzw
应用科学	gupd
张大	gvdh
库房	gvdo
张望	gveg
张	gvgn
张力	gvlg
库存	gvoa
库	gvpa
库仑	gvrb
攻	gw
麟	gwaa
废止	gwaa
鹿	gwab
麒	gwab
麝	gwac
攻占	gwah
麂	gwaj
鏖	gwaj
麇	gwam
麋	gwam
麈	gwaw
攻关	gwbe
废料	gwbm
序幕	gwcr
序	gwdg
弪	gwdg
鞣	gwdm
攻陷	gwed
攻击	gweo
废除	gwer
废弃	gwes
麋鹿	gwgw
麒麟	gwgw
攻下	gwha
弓	gwhg
疲惫不堪	gwht
序列	gwhx
序号	gwkh
废品	gwkk
弓形	gwkp
廖	gwlp
收录机	gwmj
废物	gwnd
攻打	gwoh
攻克	gwok
废	gwpd
废气	gwqp
废水	gwsg
废墟	gwta
攻	gwtn
以理服人	gwur
攻守	gwxc
序言	gwyd
攻读	gwyo
废话	gwyp
废寝忘食	gxeo
广西壮族	gxlf
鞍	gxna
鞘	gxua
庠	gypa
或	h
正	ha
戬	haag
亚	haah
政策	haah
五彩	haam
晋	haar
垩	haat
下等	haat
严	haav
恶	haax
正比	habb
下贱	habe
正数	habm
下巴	habw
一般的说	haby
下落	hacs
下	had
到此为止	hada
正负	hadb
正义	hadi
下旬	hadr
鬓角	hadu
忑	hadx
下达	hadz
政变	haea
严防	haef
正规	haer
下降	haew
下方	hafd
下午	hafo
正午	hafo
下生	haft
正弦	hage
正巧	hagh
恶习	hagl
恶魔	hagm
亚麻	hagm
政府	hagr
正	hah
严正	haha
下来	hahb
鄢	hahe
丐	hahg
正式	hahg
焉	hahh
五一	hahh
严整	hahk
正事	hahk
政事	hahk
焯	haho
下面	hahp
正面	hahp
平等互利	hahp
恶毒	haht
不管不顾	hahv
下列	hahx
严肃	haia
正统	haje
晋级	hajp
五金	hajp
下级	hajp
正经	hajw
正中	haka
颐	hakb
赜	hakb
熙	hakh
噩	hakh
下同	hakh
正品	hakk
与此同时	hakr
下次	halq
恶意	halr
五音	halr
下边	halz
下棋	hamc
正门	hamd
严禁	hamm
正极	hamp
严格	hamw
政权	hamy
正如	hank
正好	hanz
下山	haoa
正在	haoa
正确	haod
下层	haoe
政局	haog
正视	haok
正直	haok
政协	haol
下手	haop
下属	haop
严峻	haos
晋升	hapc
严重	haph
政委	hapm
下垂	hapo
正反	happ
匪徒	hapr
五行	hapr
下行	hapr
正切	haqd
正气	haqp
下令	hard
觋	harg
正电	harg
巫	harh
五保	hark
恶果	harm
吾人	harp
恶化	harq
严明	haru
噩耗	hasa
髭	hasb
鬓	hasb
爝	hasc
亚洲	hasd
髡	hase
下流	hase
下游	hasf
鬈	hasg
鬣	hasg
下水	hasg
鬏	hash
鬟	hasi
髫	hask
髻	hask
下台	hask
髦	hasm
髹	hasm
肆	haso
鬃	haso
髟	hasp
正派	hasp
政治	hass
髯	hast
下沉	hast
政法	hast
匪	hasw
下场	hatg
下地	hatg
下去	hats
亚军	hatv
恶霸	haug
下肢	hauo
五月	haup
正月	haup
下车	havh
严厉	havh
政	haw
卧	hawd
下班	hawd
下文	hawd
严冬	hawd
正文	hawd
五	hawh
吾	hawk
政务	hawl
下发	hawp
臣	haww
下乡	haww
严守	haxc
恶心	haxd
严密	haxd
严实	haxd
恶性	haxf
卧室	haxh
下定	haxh
严寒	haxh
正当	haxi
五笔字型	haxk
恶劣	haxp
正常	haxt
政党	haxt
五官	haxw
政客	haxw
严酷	hayf
一般说来	hayh
来	hb
来临	hbaa
平等	hbat
百分比	hbbb
百分	hbbd
平分	hbbd
平巷	hbch
来过	hbcz
夹	hbd
颊	hbdb
郏	hbde
一分为二	hbde
平房	hbdo
夹角	hbdu
平方	hbfd
来年	hbfh
来生	hbft
平生	hbft
夹攻	hbgw
百	hbh
平平	hbhb
平炉	hbhd
平整	hbhk
百万	hbhp
平面	hbhp
来到	hbhs
平静	hbht
平素	hbht
燧	hbhz
平缓	hbja
平凡	hbjd
副总经理	hbjw
来回	hbkk
夹具	hbks
来意	hblr
来	hbm
赉	hbmb
平板	hbmp
百姓	hbnf
平	hbo
夹层	hboe
平分秋色	hbpd
夹杂	hbpg
百科	hbpm
来自	hbpm
平和	hbpm
平稳	hbpm
平息	hbpm
平移	hbpm
平反	hbpp
来得	hbpr
来往	hbpr
平衡	hbpr
平行	hbpr
平日	hbra
平时	hbrc
百倍	hbrl
百货	hbrq
百里	hbrt
来信	hbry
烂	hbsd
平淡	hbsh
平滑	hbsk
平台	hbsk
烂漫	hbsr
来源	hbsv
平均	hbtd
平壤	hbte
平地	hbtg
平坦	hbtr
平原	hbvb
来历	hbvl
平仄	hbvr
煌	hbwd
平民	hbwh
副总理	hbwr
百家	hbxh
平安	hbxn
来宾	hbxp
平常	hbxt
百官	hbxw
来访	hbyf
平话	hbyp
夹子	hbzw
煤	hc
不甘落后	hccp
烘干	hcea
甙	hced
煤	hcem
戒	hcgd
戒严	hcha
烘	hchb
觏	hchg
烘烤	hcht
遘	hchz
戒指	hcob
煤层	hcoe
煤矿	hcog
万荣南	hcok
煤碳	hcoo
煤炭	hcoo
匿	hcow
慝	hcox
煤质	hcpp
煤气	hcqp
煤油	hcsk
煤田	hcta
百花齐放	hcwf
煤球	hcwh
匿名	hcxk
卧薪尝胆	hcxu
炎黄子孙	hczz
火	hd
火柴	hdab
火箭	hdab
炉料	hdbm
燎	hdbx
火药	hdcj
火花	hdcr
灼	hddd
灬	hddd
不学无术	hdem
煽动	hdes
医学院	hdex
炮制	hdfh
炮弹	hdgb
火炉	hdhd
火炮	hdhd
火焰	hdhd
炉火	hdhd
炮火	hdhd
焰火	hdhd
炉顶	hdhg
火炬	hdhh
火烧	hdhh
求之不得	hdhp
炉灶	hdht
炉衬	hdic
焰	hdjd
火线	hdje
焕	hdkd
火力	hdlg
炉门	hdmd
火山	hdoa
火把	hdob
煸	hdoc
火苗	hdoc
炉	hdod
炮声	hdoh
煽	hdol
火热	hdop
灼热	hdop
匾	hdow
炮兵	hdpa
火	hdpp
火气	hdqp
火星	hdrf
炮	hdsd
炮台	hdsk
炉渣	hdsm
炉温	hdsr
火腿	hdui
炉膛	hdux
火车	hdvh
焕发	hdwp
火光	hdxh
火灾	hdxh
炉子	hdzw
匹	he
贰	hebd
熵	hebk
责无旁贷	heer
兀	heg
炕	hejd
不动声色	heod
炷	hetd
匹	hew
炫	hews
匹配	heyj
炸	hf
炸	hfae
医师	hfap
平方公里	hfbr
医药	hfcj
炸药	hfcj
医学	hfdb
翳	hfdl
医	hfdw
百年大计	hfdy
医院	hfex
医生	hfft
炸弹	hfgb
医疗	hfgl
炸毁	hfjg
医护	hfod
不知所措	hfpo
青年人	hfrp
医治	hfss
医务	hfwl
丁	hg
顶点	hgah
歌功颂德	hgbp
瓦斯	hgcs
与其	hgcs
才学	hgdb
求学	hgdb
顶头	hgdd
鸢	hgdn
顶角	hgdu
瓦解	hgdu
才干	hgea
顶替	hger
才智	hgfd
式	hggd
瓦	hggd
与	hgh
顶	hghb
求救	hghg
百废具兴	hgkd
求助	hgks
救国	hgkw
求	hgld
顶部	hglk
顶端	hglo
救	hglw
逑	hglz
顶板	hgmp
式样	hgmy
求婚	hgnp
瓦特	hgnt
救护	hgod
才有	hgou
顶峰	hgow
才	hgp
尧	hgpe
翘	hgpl
求和	hgpm
炀	hgpp
才气	hgqp
夷	hgr
顶住	hgre
与会	hgre
救星	hgrf
才华	hgrq
才能	hgsu
救济	hgsw
欤	hgtq
救灾	hgxh
求情	hgxh
顶多	hgxx
求证	hgyh
才识	hgyk
式子	hgzw
一	hh
一些	hhab
违背	hhae
一般	hhaj
焐	hhak
灯笼	hhao
一等	hhat
一半	hhbe
一道	hhbh
烧瓶	hhbk
一并	hhbk
一带	hhca
不求甚解	hhcd
一共	hhch
一举	hhdb
剡	hhdd
一头	hhdd
一套	hhdh
不正之风	hhdj
炎	hhdn
万事大吉	hhdo
一角	hhdu
一旁	hheb
郯	hhed
一天	hher
一阵	hhev
灭亡	hhew
一刻	hhew
一生	hhft
韦	hhga
一度	hhgc
灯	hhgd
韧	hhgd
烧	hhge
韬	hhgj
炎症	hhgl
韫	hhgm
违	hhgz
炜	hhha
一下	hhha
灯火	hhhd
灭火	hhhd
烧火	hhhd
一一	hhhh
烦燥	hhhk
一再	hhhk
焱	hhhn
一面	hhhp
一致	hhhs
不可否认	hhhy
一线	hhje
炼铁	hhjf
烧毁	hhjg
炼钢	hhjk
烧结	hhjo
一口	hhka
一路	hhka
炊事员	hhkb
一曲	hhkc
炳	hhkr
一端	hhlo
一次	hhlq
一瞬	hhma
烧杯	hhmh
一概	hhmi
一样	hhmy
素不相识	hhmy
灭	hhn
烧饼	hhob
违抗	hhoe
一直	hhok
熙熙攘攘	hhoo
炎热	hhop
一身	hhop
一手	hhop
烧碱	hhov
一片	hhpa
烦	hhpb
一番	hhpb
一向	hhpk
一种	hhpm
违反	hhpp
来来往往	hhpp
一律	hhpr
一行	hhpr
一切	hhqd
违犯	hhqg
一气	hhqp
一个	hhra
一日	hhra
一旦	hhrh
面面俱到	hhrh
一体	hhrm
一早	hhro
万事俱备	hhrw
灯泡	hhsd
炼油	hhsk
违法	hhst
一堆	hhta
灯塔	hhtc
不可思议	hhty
一月	hhup
烧成	hhvg
一连	hhvz
炼	hhwb
炖	hhwg
一发	hhwp
一齐	hhwp
炬	hhww
灯丝	hhww
一贯	hhww
一心	hhxd
烦恼	hhxe
韧性	hhxf
灯光	hhxh
一定	hhxh
一起	hhzj
区	hi
妻	hian
区分	hibd
爽朗	hidi
煺	higz
爽	hiir
区别	hikl
区间	himr
欧姆	hinm
殴打	hioh
烯	hioj
区委	hipm
欧洲	hisd
区域	hith
区	hiw
瓯	hiwd
鸥	hiwn
欧	hiwq
殴	hiwy
爽快	hixw
妻子	hizw
刺	hj
棘	hjbb
青红皂白	hjbb
刺	hjbd
枣	hjbd
刺刀	hjdg
不约而同	hjhk
歪风邪气	hjhq
刺骨	hjkw
刺激	hjsb
匠	hjw
匝	hjw
匠心	hjxd
两	hk
整	hkaa
副业	hkaa
事业	hkaa
赖	hkab
束	hkab
剌	hkad
哥	hkag
囊	hkai
橐	hkam
可笑	hkap
歌	hkaq
可爱	hkat
遭受	hkat
蠹	hkav
匮	hkaw
敕	hkaw
速	hkaz
柬	hkbb
炽	hkbd
可疑	hkbf
可逆	hkbh
事前	hkbh
整数	hkbm
歌颂	hkbs
逼迫	hkbz
曹	hkcr
烟草	hkcr
遭	hkcz
丽	hkdd
两头	hkdd
郦	hkde
烟	hkdh
整套	hkdh
鹂	hkdn
逦	hkdz
副刊	hkea
可变	hkea
可耻	hkea
事变	hkea
两旁	hkeb
可望	hkeg
事迹	hkep
整除	hker
整天	hker
速率	hkew
可取	hkey
可靠	hkfa
事先	hkfa
歌舞	hkfc
可知	hkfd
再生	hkft
可	hkg
速度	hkgc
再度	hkgc
可以	hkgd
两广	hkgd
事项	hkgh
可恶	hkha
一国两制	hkhf
哥哥	hkhk
事事	hkhk
整整	hkhk
两面	hkhp
可不	hkhr
再不	hkhr
遭到	hkhs
整顿	hkhw
炽烈	hkhx
遭殃	hkhx
吏	hki
事	hkig
束缚	hkjh
整风	hkji
不同凡响	hkjk
逼近	hkjz
鬲	hkka
可贵	hkka
可口	hkka
歌曲	hkkc
炯	hkkd
歌咏	hkkd
翮	hkkl
燥	hkkm
事由	hkko
烟叶	hkko
可见	hkkp
再见	hkkp
整形	hkkp
歌唱	hkkr
融	hkkv
两国	hkkw
两端	hklo
再次	hklq
两边	hklz
两相	hkmm
两极	hkmp
两样	hkmy
事物	hknd
可喜	hkod
歌声	hkoh
逼真	hkok
事故	hkok
歌剧	hkoo
炽热	hkop
副食	hkop
两手	hkop
再版	hkpa
不由自主	hkpe
烟囱	hkpk
两种	hkpm
事后	hkpp
可行	hkpr
丙	hkr
两个	hkra
整个	hkra
整修	hkra
逼供	hkrc
邴	hkre
再会	hkre
烟袋	hkrh
逼债	hkrh
或是	hkrh
可是	hkrh
融合	hkrh
事例	hkrh
遭遇	hkrk
整体	hkrm
事件	hkrn
融化	hkrq
两	hkrr
整流	hkse
再三	hksh
烟台	hksk
整洁	hkso
融洽	hksr
整治	hkss
可能	hksu
再	hkt
副	hktd
或	hktd
速写	hkth
或者	hktp
两者	hktp
惑	hktx
逼	hktz
烟雾	hkuw
速成	hkvg
叵	hkw
再现	hkwk
事务	hkwl
整齐	hkwp
整理	hkwr
可怕	hkxb
可憎	hkxb
可惜	hkxc
事实	hkxd
事情	hkxh
可恨	hkxi
事宜	hkxk
可怜	hkxr
烟尘	hkxt
整党	hkxt
歌谣	hkya
再说	hkyb
或许	hkyf
歌词	hkyg
可观	hkyk
可调	hkyp
可谓	hkyt
焙	hlkd
更新换代	hlor
末	hm
不相上下	hmah
互相爱护	hmao
两极分化	hmbr
末期	hmcs
末年	hmfh
可想而知	hmhf
戒骄戒躁	hmhk
一概而论	hmhy
末	hmn
末尾	hmom
末日	hmra
互相帮助	hmsk
末了	hmwg
一目了然	hmwx
焖	hmxd
严格要求	hmxh
灿	hoda
炻	hodh
一技之长	hodv
戎	hogd
灿烂	hohb
百折不挠	hoho
再接再厉	hohv
煳	hoku
烬	hond
不择手段	hoop
政协委员	hopk
来龙去脉	hotu
不拘小节	hoxc
面	hp
丌	hpa
面临	hpaa
逐步	hpaa
煅	hpay
页	hpb
万分	hpbd
烀	hpbg
面前	hpbh
面粉	hpbm
燔	hpbt
万世	hpch
耐劳	hpct
面色	hpdb
万象	hpdk
耐久	hpdn
面包	hpds
面熟	hpek
迈进	hpep
夏天	hper
万年	hpfh
逐年	hpfh
万	hpg
夏收	hpga
燹	hpgh
劢	hpgl
耐磨	hpgm
豕	hpgn
熘	hpgt
虿	hpgv
虺	hpgv
迈	hpgz
逐	hpgz
万恶	hpha
耐火	hphd
耐烦	hphh
万一	hphh
熄灭	hphh
煅烧	hphh
万万	hphp
逐级	hpjp
而	hpka
耐	hpkc
燠	hpkd
面	hpkh
面团	hpkh
耍	hpkn
鸸	hpkn
趸	hpkr
而且	hpks
面具	hpks
恧	hpkx
耐力	hplg
面部	hplk
面目	hpma
戛	hpmg
面相	hpmm
夏	hpmw
熄	hpmx
万物	hpnd
页岩	hpoo
耐热	hpop
万岁	hpox
面貌	hppd
面积	hppm
夏季	hppm
万千	hppo
而后	hppp
逐个	hpra
而今	hprd
而是	hprh
万能	hpsu
逐渐	hpsv
万幸	hptb
耐用	hpua
万历	hpvl
而已	hpwh
烁	hpwx
耐心	hpxd
耐性	hpxf
可行性	hpxf
耐寒	hpxh
面容	hpxr
面对	hpyc
耐酸	hpys
面孔	hpzg
面子	hpzw
炊	hqdn
炊事	hqhk
不切实际	hqxe
还	hr
不止	hraa
不妥	hran
爆竹	hrap
不符	hrar
不等	hrat
匣	hraw
惠	hrax
不管	hrax
不分	hrbd
否则	hrbd
百货公司	hrbg
不曾	hrbk
不断	hrbm
不料	hrbm
不单	hrbr
不公	hrbs
爆	hrcd
不甘	hrce
不过	hrcz
不	hrd
歪	hrda
不忍	hrdd
邳	hrde
不必	hrdg
丕	hrdh
不大	hrdh
不良	hrdi
否	hrdk
焓	hrdk
不够	hrdk
不免	hrdk
不久	hrdn
甭	hrdo
不解	hrdu
与人为善	hrdy
还	hrdz
焊	hrea
不变	hrea
百货商店	hreg
还击	hreo
不无	hrep
烩	hres
责任制	hrfh
来日方长	hrfv
炝	hrgg
不巧	hrgh
亘	hrh
更正	hrha
不平	hrhb
爆炸	hrhf
不一	hrhh
不可	hrhk
来人来函	hrhw
求全责备	hrhw
更	hri
不灵	hrih
求伯君	hrik
不错	hrjc
歪风	hrji
平易近人	hrjr
更改	hrjw
不足	hrka
不只	hrkb
歪曲	hrkc
不见	hrkp
不准	hrla
煜	hrld
更新	hrlh
更加	hrlk
否决	hrlw
不朽	hrmh
不问	hrmk
不禁	hrmm
郾	hrne
不妨	hrnf
不如	hrnk
孬	hrnz
还好	hrnz
不在	hroa
更换	hrod
爆破	hrog
焊接	hrol
不尽	hron
不振	hrov
不屈	hrow
不屑	hrox
不乏	hrpd
不和	hrpm
不利	hrpm
不适	hrpo
不待	hrpr
不得	hrpr
不行	hrpr
不及	hrpw
烨	hrqo
不独	hrqv
不时	hrrc
不会	hrre
歪斜	hrre
不便	hrrh
不合	hrrh
不是	hrrh
还是	hrrh
不依	hrri
不休	hrrm
不值	hrro
不但	hrrr
不明	hrru
不仅	hrry
不满	hrsc
不法	hrst
不能	hrsu
熳	hrsy
不幸	hrtb
不堪	hrtc
不用	hrua
不服	hrue
不胜	hruf
还原	hrvb
不成	hrvg
不顾	hrvg
不通	hrwd
不予	hrwd
不敢	hrwe
不已	hrwh
焊条	hrwh
爆发	hrwp
不理	hrwr
不备	hrwt
不外	hrxa
不怕	hrxb
不愧	hrxb
不惜	hrxc
不然	hrxd
不忙	hrxe
不定	hrxh
不光	hrxh
否定	hrxh
不当	hrxi
不宜	hrxk
不安	hrxn
不要	hrxn
不慎	hrxo
不少	hrxp
不容	hrxr
不肖	hrxu
不懈	hrxu
不快	hrxw
不善	hryb
不对	hryc
不该	hrye
不许	hryf
不配	hryj
不计	hryo
不论	hryr
否认	hryr
不详	hryy
到	hs
至此	hsab
至上	hsah
致敬	hscd
到期	hscs
到达	hsdz
至于	hseg
致病	hsgl
到底	hsgp
到来	hshb
到顶	hshg
政治面目	hshm
不三不四	hshs
致死	hshx
致力	hslg
政治部	hslk
致意	hslr
万润南	hsok
到手	hsop
政治协商会议	hsoy
违法乱纪	hspj
至今	hsrd
到会	hsre
致电	hsrg
致命	hsrh
致使	hsrh
到任	hsrp
到货	hsrq
至	hst
到	hstd
郅	hste
到场	hstg
致	hstw
到处	hswa
致密	hsxd
可能性	hsxf
到家	hsxh
致富	hsxh
至少	hsxp
青海省	hsxp
至多	hsxx
致词	hsyg
致谢	hsyo
表	ht
静止	htaa
画笔	htam
责	htb
表弟	htbg
表白	htbp
青菜	htca
毒药	htcj
青草	htcr
表态	htdd
灶	htdh
表象	htdk
表达	htdz
青年	htfh
表皮	htgp
烤烟	hthk
煨	hthn
来者不拒	htho
表面	hthp
画面	hthp
毒素	htht
静静	htht
表	hti
素	htj
画幅	htjh
青铜	htjk
青绿	htjw
毒品	htkk
责骂	htkk
画图	htkw
毒辣	htlo
表彰	htlr
表决	htlw
毒	htm
表述	htmd
纛	htmj
责问	htmk
表格	htmw
表妹	htne
青山	htoa
素描	htoc
表层	htoe
画报	htoe
表扬	htog
表示	htoh
毒手	htop
赘	htpb
聱	htpe
烤	htpg
表册	htpg
青岛	htpg
熬	htph
鏊	htpj
骜	htpm
素质	htpp
獒	htpq
鳌	htpu
螯	htpv
敖	htpw
遨	htpz
画像	htrd
静电	htrg
责任	htrp
表里	htrt
表明	htru
青海	htsf
青春	htsr
画法	htst
表演	htsx
青	htu
静脉	htud
静	htug
靓	htug
青鱼	htup
靛	htur
责成	htvg
静压	htvt
青蛙	htvt
毒蛇	htvx
麦	htw
画	htwa
麸	htwd
表现	htwk
责备	htwt
毒性	htxf
表情	htxh
画家	htxh
毒害	htxs
麦子	htzw
甫	hu
甫	huad
敷	huaw
逋	huaz
敷衍	hupr
敷设	huyj
烛	hvdd
匦	hvpw
烛光	hvxh
东	hw
匚	hw
顿	hwab
东北	hwae
屯	hwag
牙齿	hwar
顿首	hwbh
炔	hwdd
燃眉之急	hwdd
烃	hwdg
巨大	hwdh
东京	hwek
牙膏	hwek
东方	hwfd
雅	hwga
邪	hwge
鸦	hwgn
牙	hwgp
迓	hwgz
东晋	hwha
东亚	hwha
烽火	hwhd
东欧	hwhi
东面	hwhp
巨	hwhw
烙铁	hwjf
东风	hwji
雅典	hwkc
烙	hwkd
巨型	hwkd
互助	hwks
熠	hwlb
东部	hwlk
东边	hwlz
互相	hwmm
互换	hwod
东南	hwok
鸦片	hwpa
烙印	hwpg
互利	hwpm
顿时	hwrc
巨人	hwrp
烽	hwsa
东海	hwsf
顿河	hwsh
东汉	hwsy
屯田	hwta
匡	hww
不了了之	hwwd
互	hwwh
东	hwx
东家	hwxh
东西	hwxh
鸫	hwxn
巨额	hwxw
熔点	hxah
事实上	hxah
殍	hxaz
死	hxb
燃料	hxbm
殚	hxbo
殡葬	hxch
歹	hxd
列	hxd
列举	hxdb
残忍	hxdd
烈	hxdh
燃	hxdh
裂	hxdi
殉	hxdr
裂解	hxdu
裂变	hxea
残	hxed
列宁主义	hxed
烷	hxee
死亡	hxew
裂隙	hxex
青少年	hxfh
殇	hxfp
残缺	hxfw
列席	hxgc
忒	hxgd
列强	hxgk
残疾	hxgl
残废	hxgw
烈火	hxhd
煊	hxhh
歼灭	hxhh
燃烧	hxhh
熔炼	hxhh
熔融	hxhk
一心一意	hxhl
不寒而栗	hxhx
或多或少	hxhx
残杀	hxih
裂缝	hxjw
裂纹	hxjw
殁	hxjy
裂口	hxka
殒	hxkb
殃	hxkd
死刑	hxkd
殂	hxks
死板	hxmp
殊	hxnb
残存	hxoa
殪	hxod
残局	hxog
烈士	hxoh
殖	hxos
炒	hxpd
残留	hxpg
列入	hxpn
歼	hxpo
恶性循环	hxpw
烈日	hxra
残暴	hxrc
残余	hxre
死伤	hxrf
殓	hxrh
熔	hxrk
餮	hxro
殄	hxrp
熔化	hxrq
殆	hxsk
死活	hxsp
列车	hxvh
列出	hxwa
殛	hxwh
殖民	hxwh
殡	hxxb
烈性	hxxf
残害	hxxs
残酷	hxyf
烊	hyda
不言而喻	hyhk
不谋而合	hyhr
燮	hyhy
不着边际	hyle
五讲四美	hysb
以	i
补	ia
褴	iaam
补贴	iaba
补	iadd
补充	iaes
褙	iaeu
补习	iagl
肀	iah
补正	iaha
补救	iahg
肃静	iaht
补给	iajr
补品	iakk
补助	iaks
肃立	iald
建筑材料	iamb
建筑物	iand
肃	iapb
补血	iapm
肃穆	iapm
补偿	iarx
肃清	iash
补考	iatp
补发	iawp
补课	iayr
裕	ib
袢	ibea
褛	ibmn
裨	ibpo
裕	ibrk
寻	ic
寻觅	icak
衬	icdd
寻	ichd
寻求	ichg
衬衣	icid
衬衫	icip
寻找	icog
衬托	icop
褡	icrk
寻常	icxt
初	id
初步	idaa
初等	idat
衣料	idbm
初期	idcs
刈	iddg
初	iddp
初速	idhk
衣	idhp
衣襟	idim
初级	idjp
初中	idka
初次	idlq
初始	idns
褊	idoc
衣食	idop
初稿	idpm
袍	idsd
衣服	idue
衤	idwa
衣裳	idxt
初试	idyh
衣着	idym
建	ie
建筑	ieag
聿	ieah
建	ieaz
建交	ieeb
建造	iefa
建国	iekw
建立	ield
建材	iemh
建成	ievg
建议	ieyd
建设	ieyj
灵敏度	ifgc
被	ig
退步	igaa
被单	igbr
被迫	igbz
